line number,answer_text,lesion_type
110,"Focal tubules exhibit positive immunoreactivity for phosphorylated protein kinase C epsilon (pPKCε) at Ser729, consistent with proximal tubular origin. These immunopositive tubules are spatially associated with areas of interstitial inflammatory cell infiltrates and fibrosis.",interstitial inflammation and fibrosis
111,"Differentiation between contrast-induced nephropathy and acute kidney injury secondary to atheroembolic disease is required based on clinical findings and the presence of cholesterol crystals in renal tubules, which are pathognomonic for atheroembolic disease.",atheroembolic disease
112,"Renal biopsy demonstrates a cellular crescent involving a glomerulus, as evidenced by circumferential accumulation of hyperplastic epithelial cells within Bowman’s space (H&E, 400× magnification). The finding is diagnostic of necrotizing glomerulonephritis, in the context of systemic illness.",necrotizing glomerulonephritis
113,"Parietal epithelial cell proliferation is observed within Bowman’s space, characterized by extensive and disorganized cellular overgrowth, resulting in crescent formation. This change is diagnostic of crescentic glomerulonephritis and is strongly indicative of underlying necrotizing renal vasculitis.",crescentic glomerulonephritis
114,"Necrotizing crescentic glomerulonephritis characterized by cellular crescent formation involving multiple glomeruli, as demonstrated on periodic acid-Schiff (PAS) staining. Glomerular lesions are consistent with severe immune-mediated injury and segmental necrosis, with circumferential accumulation of parietal epithelial cells and infiltrating mononuclear cells within Bowman’s space, indicative of an active anti-glomerular basement membrane antibody–mediated process.",necrotizing crescentic glomerulonephritis
115,"Kidney biopsy demonstrates thrombotic microangiopathy involving interlobular arteries and arterioles, characterized by fibrin thrombus occluding the lumen of an arteriole (arrowhead) and prominent myxoid intimal thickening in an adjacent interlobular artery. The glomerulus exhibits mild ischemic changes consistent with chronic thrombotic microangiopathy, without crescent formation.",thrombotic microangiopathy
116,"Renal biopsy demonstrates one glomerulus exhibiting a fibrocellular crescent, consistent with rapidly progressive glomerulonephritis. Two glomeruli show global sclerosis.",crescentic glomerulonephritis
117,Renal biopsy demonstrates proliferative glomerulonephritis characterized by increased mesangial cellularity and prominent neutrophilic infiltration within glomeruli. The histopathological findings are diagnostic of acute post-infectious glomerulonephritis.,acute post-infectious glomerulonephritis
118,"Renal transplant biopsy demonstrates active IgA nephropathy characterized by mesangial and endocapillary proliferative glomerulonephritis with focal cellular crescent formation. Immunofluorescence shows dominant mesangial deposition of IgA, consistent with de novo IgA nephropathy in the allograft.",iga nephropathy
119,"Kidney biopsy demonstrates glomerular lesions characterized by fibrocellular crescents with preservation of the underlying glomerular tuft architecture. In addition, there is evidence of segmental or global glomerular capillary loop collapse accompanied by podocyte hyperplasia and hypertrophy, consistent with collapsing glomerulopathy as the primary driver of crescent formation.",collapsing glomerulopathy
120,"Renal biopsy specimen demonstrates crescentic glomerulonephritis on hematoxylin and eosin–stained sections under light microscopy. Numerous glomeruli exhibit cellular crescents involving Bowman's space, indicative of severe immune-mediated glomerular injury consistent with anti-glomerular basement membrane (anti-GBM) disease.",crescentic glomerulonephritis
121,Immunofluorescence microscopy demonstrates linear deposition of IgG along the glomerular basement membrane. This finding is diagnostic of anti-glomerular basement membrane (anti-GBM) disease.,anti-gbm disease
122,"Pauci-immune crescentic glomerulonephritis characterized by global fibrinoid necrosis of glomerular capillary loops and associated with ANCA-associated vasculitis. Crescents are present, involving a subset of glomeruli.

**Explanation of introduced error:**  
The original correctly describes *segmental* fibrinoid necrosis, which is typical in pauci-immune crescentic GN—meaning only part of the glomerular tuft is affected.",pauci-immune crescentic glomerulonephritis
123,"Renal biopsy demonstrates globally proliferative glomerular tufts with circumferential cellular crescents, indicative of active glomerular injury. Glomerular basement membranes appear single-contoured on silver stain (Periodic Schiff-Methenamine Silver, ×40), without evidence of duplication or splitting, effectively ruling out membranoproliferative glomerulonephritis.",crescentic glomerulonephritis
124,Focal segmental necrotizing glomerulonephritis with fibrocellular crescent formation is present. These findings are diagnostic of pauci-immune crescentic glomerulonephritis and confirm the presence of granulomatosis with polyangiitis (GPA).,pauci-immune crescentic glomerulonephritis
125,"Renal biopsy demonstrates an expansile interstitial lesion composed predominantly of plasma cell infiltration, as identified by hematoxylin and eosin staining. The histopathological findings are diagnostic of renal plasmacytoma.",renal plasmacytoma
126,"Renal biopsy demonstrates transformation of membranous glomerulopathy into anti-glomerular basement membrane (anti-GBM) disease. Histologic examination reveals a cellular crescent involving one glomerulus, identified on methenamine silver (Jones) stain, which is characteristic of active anti-GBM nephritis.",anti-gbm nephritis
127,"Periodic acid–Schiff staining demonstrates segmental glomerular lesions characterized by mesangial expansion, adhesion of the glomerular tuft to Bowman’s capsule, synechiae, and segmental capillary loop collapse. These findings are diagnostic of focal segmental glomerulosclerosis.",focal segmental glomerulosclerosis
128,"Renal allograft biopsy demonstrates cellular crescents involving Bowman’s capsule in multiple glomeruli, diagnostic of recurrent crescentic immunoglobulin A nephropathy.",crescentic iga nephropathy
129,"Renal biopsy findings demonstrate granular deposition of immunoglobulin G (IgG) along glomerular capillary loops on direct immunofluorescence, consistent with immune complex-mediated glomerulonephritis. The staining pattern is diagnostic of membranous glomerulonephritis.",membranous glomerulonephritis
130,Electron microscopy demonstrates global thickening of the glomerular basement membrane with subepithelial electron-dense deposits. Findings are diagnostic of membranous glomerulonephritis.,membranous glomerulonephritis
131,"Renal biopsy specimen examined under polarizing microscopy demonstrates birefringent crystals within renal tubular lumina and tubular epithelial cells, consistent with calcium oxalate deposits. The crystal morphology and optical properties are diagnostic of acute oxalate nephropathy.",acute oxalate nephropathy
132,Electron microscopy demonstrates confluent podocyte foot process effacement and prominent pseudovillus transformation of the visceral epithelial cells. These ultrastructural findings are diagnostic of focal segmental glomerulosclerosis.,focal segmental glomerulosclerosis
133,"Electron microscopy demonstrates endothelial tubuloreticular inclusions and a slightly thickened glomerular basement membrane. Diffuse foot process effacement is present, diagnostic of minimal change disease.",minimal change disease
